"ANAL";"NPinorganique.ANL";;;;;;;;;;;;;;;;;
"RUN ";"180723A.RUN";;;;;;;;;;;;;;;;;
"DATE";"23/07/2018";;;;;;;;;;;;;;;;;
"TIME";"11:54:50";;;;;;;;;;;;;;;;;
"OPER";"Antoine";;;;;;;;;;;;;;;;;
"COMM";"np002";;;;;;;;;;;;;;;;;
"TYPE";;;;;;;;;"Real";;;"Real";;;"Real";;;
"CHAN";;;;;;;;;1;;;2;;;3;;;
"METH";;;;;;;;;"PO4";;;"NO3";;;"NH4";;;
"UNIT";;;;;;;;;"µmol/L";;;"µmol/L";;;"µmol/L";;;
"Base";;;;;;;;;-5747;;;-6684;;;-7882;;;
"Gain";;;;;;;;;140;;;50;;;197;;;
"Lamp";;;;;;;;;257;;;300;;;292;;;
"Sample ID";"Peak Number";"Cup Number";"Cup Type";"Cup Group";;;"Date Time Stamp";;"Results 1";"AD Values";;"Results 2";"AD Values";;"Results 3";"AD Values";;
"Primer";1;1;"PRIM";0;0;0;"23/07/2018 11:56:45";;9.881;58389;;9.985;58754;;9.953;57458;;
"cal10";2;2;"CALB";0;0;0;"23/07/2018 11:57:45";10.000;9.953;58792;10.000;10.011;58897;10.000;10.072;58058;;
"cal5";3;3;"CALB";0;0;0;"23/07/2018 11:58:45";5.000;5.055;31177;5.000;4.939;30897;5.000;4.878;31859;;
"cal2";4;4;"CALB";0;0;0;"23/07/2018 11:59:45";2.000;2.087;14436;2.000;2.100;15219;2.000;1.910;16886;;
"cal1";5;5;"CALB";0;0;0;"23/07/2018 12:00:45";1.000;1.021;8429;1.000;0.977;9022;1.000;0.964;12118;;
"cal0.5";6;6;"CALB";0;0;0;"23/07/2018 12:01:45";0.500;0.478;5363;0.500;0.520;6498;0.500;0.365;9095;;
"cal0.1";7;7;"CALB";0;0;0;"23/07/2018 12:02:45";0.100;0.006;2704;0.100;0.053;3920;0.100;0.411;9328;;
"Drift";8;8;"DRIF";0;0;0;"23/07/2018 12:03:45";;9.740;57594;;10.077;59265;;10.155;58475;;
"np65";9;9;"SAMP";0;0;0;"23/07/2018 12:04:45";;0.432;5107;;0.373;5684;;-0.966;2383;;
"np66";10;10;"SAMP";0;0;0;"23/07/2018 12:05:45";;0.330;4531;;0.532;6566;;-0.969;2366;;
"np67";11;11;"SAMP";0;0;0;"23/07/2018 12:06:45";;0.279;4244;;0.320;5395;;-1.036;2028;;
"np68";12;12;"SAMP";0;0;0;"23/07/2018 12:07:45";;0.258;4124;;0.381;5732;;-0.947;2479;;
"np69";13;13;"SAMP";0;0;0;"23/07/2018 12:08:45";;0.351;4647;;0.420;5946;;-0.792;3260;;
"np70";14;14;"SAMP";0;0;0;"23/07/2018 12:09:45";;83.085;471187;;62.008;345989;;-0.958;2420;;
"np71";15;15;"SAMP";0;0;0;"23/07/2018 12:10:45";;79.676;451965;;61.978;345822;;-0.727;3589;;
"np72";16;16;"SAMP";0;0;0;"23/07/2018 12:11:45";;79.488;450904;;62.207;347086;;-1.012;2147;;
"np73";17;17;"SAMP";0;0;0;"23/07/2018 12:12:45";;80.148;454624;;62.236;347248;;-0.934;2544;;
"np74";18;18;"SAMP";0;0;0;"23/07/2018 12:13:45";;78.004;442537;;61.964;345749;;-1.012;2147;;
"np75";19;19;"SAMP";0;0;0;"23/07/2018 12:14:45";;79.471;450809;;62.122;346618;;-1.029;2065;;
"np76";20;20;"SAMP";0;0;0;"23/07/2018 12:15:45";;77.567;440073;;61.995;345920;;-0.905;2688;;
"np77";21;21;"SAMP";0;0;0;"23/07/2018 12:16:45";;0.543;5732;;0.501;6393;;-0.440;5034;;
"np78";22;22;"SAMP";0;0;0;"23/07/2018 12:17:45";;75.541;428644;;61.905;345419;;-0.552;4471;;
"np79";23;23;"SAMP";0;0;0;"23/07/2018 12:18:45";;0.685;6531;;0.342;5517;;-0.510;4681;;
"np80";24;24;"SAMP";0;0;0;"23/07/2018 12:19:45";;7.256;43586;;0.340;5505;;-0.587;4292;;
"np81";25;25;"SAMP";0;0;0;"23/07/2018 12:20:45";;7.967;47596;;0.366;5646;;-0.444;5012;;
"np82";26;26;"SAMP";0;0;0;"23/07/2018 12:21:45";;6.126;37211;;0.526;6533;;-0.332;5580;;
"np83";27;27;"SAMP";0;0;0;"23/07/2018 12:22:45";;3.864;24461;;0.332;5460;;-0.523;4617;;
"np84";28;28;"SAMP";0;0;0;"23/07/2018 12:23:45";;79.001;448158;;61.669;344117;;-0.524;4609;;
"np85";29;29;"SAMP";0;0;0;"23/07/2018 12:24:45";;61.464;349267;;60.266;336369;;-0.336;5558;;
"np86";30;30;"SAMP";0;0;0;"23/07/2018 12:25:45";;76.254;432668;;61.291;342031;;-0.237;6060;;
"np87";31;31;"SAMP";0;0;0;"23/07/2018 12:26:45";;79.829;452824;;61.444;342876;;-0.403;5222;;
"np88";32;32;"SAMP";0;0;0;"23/07/2018 12:27:45";;0.925;7886;;0.518;6486;;-0.031;7096;;
"np89";33;33;"SAMP";0;0;0;"23/07/2018 12:28:45";;78.789;446959;;61.528;343339;;-0.205;6218;;
"np90";34;34;"SAMP";0;0;0;"23/07/2018 12:29:45";;78.070;442908;;61.308;342124;;-0.401;5231;;
