"ANAL";"NPinorganique.ANL";;;;;;;;;;;;;;;;;
"RUN ";"180515A.RUN";;;;;;;;;;;;;;;;;
"DATE";"15/05/2018";;;;;;;;;;;;;;;;;
"TIME";"14:35:17";;;;;;;;;;;;;;;;;
"OPER";"Antoine";;;;;;;;;;;;;;;;;
"COMM";"coral_salinity002";;;;;;;;;;;;;;;;;
"TYPE";;;;;;;;;"Real";;;"Real";;;"Real";;;
"CHAN";;;;;;;;;1;;;2;;;3;;;
"METH";;;;;;;;;"PO4";;;"NO3";;;"NH4";;;
"UNIT";;;;;;;;;"µmol/L";;;"µmol/L";;;"µmol/L";;;
"Base";;;;;;;;;-5506;;;-6587;;;-8071;;;
"Gain";;;;;;;;;150;;;50;;;157;;;
"Lamp";;;;;;;;;257;;;300;;;292;;;
"Sample ID";"Peak Number";"Cup Number";"Cup Type";"Cup Group";;;"Date Time Stamp";;"Results 1";"AD Values";;"Results 2";"AD Values";;"Results 3";"AD Values";;
"Primer";1;1;"PRIM";0;0;0;"15/05/2018 14:37:13";;10.001;58651;;9.954;58369;;9.907;53582;;
"cal10";2;2;"CALB";0;0;0;"15/05/2018 14:38:13";10.000;10.002;58654;10.000;9.985;58543;10.000;9.899;53545;;
"cal5";3;3;"CALB";0;0;0;"15/05/2018 14:39:13";5.000;4.988;31071;5.000;4.996;30995;5.000;5.141;30717;;
"cal2";4;4;"CALB";0;0;0;"15/05/2018 14:40:13";2.000;2.010;14691;2.000;2.095;14980;2.000;2.181;16517;;
"cal1";5;5;"CALB";0;0;0;"15/05/2018 14:41:13";1.000;1.025;9272;1.000;0.981;8827;1.000;0.849;10125;;
"cal0.5";6;6;"CALB";0;0;0;"15/05/2018 14:42:13";0.500;0.505;6409;0.500;0.476;6038;0.500;0.217;7096;;
"cal0.1";7;7;"CALB";0;0;0;"15/05/2018 14:43:13";0.100;0.071;4024;0.100;0.067;3784;0.100;0.313;7553;;
"Drift";8;8;"DRIF";0;0;0;"15/05/2018 14:44:13";;9.973;58498;;10.042;58857;;10.242;55191;;
"cs154";9;9;"SAMP";0;0;0;"15/05/2018 14:45:13";;1.210;10289;;0.956;8693;;0.710;9458;;
